filename; category; number_of_annotated_frames; number_of_agreed_frames; number_of_disagreed_frames; agreement_percentage
dpc-bmm-001087-nl-sen-fn.txt.xml ; background-news ; Frame (59) ; agree(29) ; nonagree(30) ; 0.49
dpc-bmm-001088-nl-sen-fn.txt.xml ; background-news ; Frame (36) ; agree(13) ; nonagree(23) ; 0.36
dpc-bmm-001089-nl-sen-fn.txt.xml ; background-news ; Frame (15) ; agree(5) ; nonagree(10) ; 0.33
dpc-cam-001280-nl-sen-fn.txt.xml ; financial ; Frame (50) ; agree(19) ; nonagree(31) ; 0.38
dpc-eli-000937-nl-sen-fn.txt.xml ; financial ; Frame (54) ; agree(27) ; nonagree(27) ; 0.50
dpc-eli-000940-nl-sen-fn.txt.xml ; financial ; Frame (75) ; agree(31) ; nonagree(44) ; 0.41
dpc-eli-000941-nl-sen-fn.txt.xml ; financial ; Frame (59) ; agree(25) ; nonagree(34) ; 0.42
dpc-eup-000015-nl-sen-fn.txt.xml ; financial ; Frame (143) ; agree(68) ; nonagree(75) ; 0.48
dpc-eup-000017-nl-sen-fn.txt.xml ; financial ; Frame (45) ; agree(24) ; nonagree(21) ; 0.53
dpc-eup-000018-nl-sen-fn.txt.xml ; financial ; Frame (179) ; agree(73) ; nonagree(106) ; 0.41
dpc-eup-000019-nl-sen-fn.txt.xml ; financial ; Frame (37) ; agree(15) ; nonagree(22) ; 0.41
dpc-ind-001632-nl-sen-fn.txt.xml ; news ; Frame (51) ; agree(29) ; nonagree(22) ; 0.57
dpc-ind-001633-nl-sen-fn.txt.xml ; news ; Frame (109) ; agree(67) ; nonagree(42) ; 0.61
dpc-ind-001646-nl-sen-fn.txt.xml ; news ; Frame (105) ; agree(49) ; nonagree(56) ; 0.47
dpc-ind-001649-nl-sen-fn.txt.xml ; news ; Frame (111) ; agree(58) ; nonagree(53) ; 0.52
dpc-ind-001650-nl-sen-fn.txt.xml ; news ; Frame (123) ; agree(51) ; nonagree(72) ; 0.41
dpc-kok-001320-nl-sen-fn.txt.xml ; financial ; Frame (34) ; agree(13) ; nonagree(21) ; 0.38
dpc-kok-001321-nl-sen-fn.txt.xml ; financial ; Frame (28) ; agree(13) ; nonagree(15) ; 0.46
dpc-kok-001324-nl-sen-fn.txt.xml ; financial ; Frame (44) ; agree(17) ; nonagree(27) ; 0.39
dpc-qty-000933-nl-sen-fn.txt.xml ; medical ; Frame (88) ; agree(39) ; nonagree(49) ; 0.44
wiki-1058-fn.txt.xml ; wiki ; Frame (21) ; agree(8) ; nonagree(13) ; 0.38
wiki-11-fn.txt.xml ; wiki ; Frame (87) ; agree(44) ; nonagree(43) ; 0.51
wiki-1181-fn.txt.xml ; wiki ; Frame (44) ; agree(11) ; nonagree(33) ; 0.25
wiki-1250-fn.txt.xml ; wiki ; Frame (7) ; agree(3) ; nonagree(4) ; 0.43
